,date,mean_I2L1,mean_I2L2,mean_I3L1,mean_I3L2,mean_VTEC,max_I2L1,max_I2L2,max_I3L1,max_I3L2,max_VTEC,min_I2L1,min_I2L2,min_I3L1,min_I3L2,min_VTEC,meanA_I2L1,meanA_I2L2,meanA_I3L1,meanA_I3L2,maxA_I2L1,maxA_I2L2,maxA_I3L1,maxA_I3L2,minA_I2L1,minA_I2L2,minA_I3L1,minA_I3L2,f107cm,ap
0,2013-01-01,-0.0011186841346062597,-0.002364423273293222,0.000360299751361816,0.000977286844952265,28.110518993432915,0.007305,0.015441,0.002167,0.005878,55.573368,-0.014304,-0.030233,3e-06,8e-06,4.570767,0.002412664964792074,0.00509935822878509,0.000360299751361816,0.000977286844952265,0.014304,0.030233,0.002167,0.005878,0.0,0.0,3e-06,8e-06,113.9,1.0
1,2013-01-02,-0.0011176020307458723,-0.0023621401024862395,0.00041877952173087875,0.0011359041184285444,30.91899007265135,0.009081,0.019193,0.002758,0.00748,60.683868,-0.013375,-0.028269,7e-06,2e-05,7.066792,0.002580682197760485,0.0054544781552476745,0.00041877952173087875,0.0011359041184285444,0.013375,0.028269,0.002758,0.00748,0.0,0.0,7e-06,2e-05,115.0,4.0
2,2013-01-03,-0.0011647991991498082,-0.0024618939727483204,0.0004304899419288723,0.0011676683493376857,32.142492909837934,0.008938,0.018891,0.002817,0.007642,62.360271,-0.013253,-0.028012,4e-06,1.2e-05,4.942413,0.0026773071127642618,0.005658696834554219,0.0004304899419288723,0.0011676683493376857,0.013253,0.028012,0.002817,0.007642,0.0,0.0,4e-06,1.2e-05,124.6,2.0
3,2013-01-04,-0.0011715016316927863,-0.0024760633893674347,0.00038667500853792737,0.001048824536105946,30.376153397658715,0.01035,0.021875,0.002988,0.008104,64.10083,-0.013928,-0.029438,1.2e-05,3.2e-05,6.892786,0.002572184020794597,0.00543651373657648,0.00038667500853792737,0.001048824536105946,0.013928,0.029438,0.002988,0.008104,0.0,0.0,1.2e-05,3.2e-05,138.4,2.0
4,2013-01-05,-0.0011576595962662214,-0.0024468103134249065,0.0004215944828109585,0.001143547582909615,31.254699581505655,0.008593,0.018163,0.002268,0.006152,55.955482,-0.014508,-0.030663,8e-06,2.2e-05,5.359579,0.002633595545268269,0.005566306367154892,0.0004215944828109585,0.001143547582909615,0.014508,0.030663,0.002268,0.006152,0.0,0.0,8e-06,2.2e-05,140.3,2.0
5,2013-01-06,-0.0012264583222622886,-0.0025922131713797688,0.0004990828240652876,0.0013537299677358128,34.4726461224331,0.009211,0.019467,0.002993,0.008118,64.674126,-0.014743,-0.03116,8e-06,2.2e-05,6.628473,0.0028723591763142905,0.006070959233251093,0.0004990828240652876,0.0013537299677358128,0.014743,0.03116,0.002993,0.008118,0.0,0.0,8e-06,2.2e-05,137.5,4.0
6,2013-01-07,-0.0011954327715142544,-0.0025266411950043647,0.00044468245833807855,0.0012061660972554377,32.92658485398398,0.007823,0.016534,0.002158,0.005854,56.31665,-0.015532,-0.032828,6e-06,1.7e-05,5.175412,0.0027618018259120067,0.005837291918156626,0.00044468245833807855,0.0012061660972554377,0.015532,0.032828,0.002158,0.005854,0.0,0.0,6e-06,1.7e-05,144.8,3.0
7,2013-01-08,-0.0008123786220218931,-0.001717027044430135,0.00018564251985404593,0.0005035418544752093,23.518714151105385,0.003556,0.007515,0.000533,0.001446,32.856415,-0.00739,-0.015619,4.6e-05,0.000126,12.967558,0.0019180751234170422,0.004054002790298348,0.00018564251985404593,0.0005035418544752093,0.00739,0.015619,0.000533,0.001446,0.0,0.0,4.6e-05,0.000126,150.5,4.0
8,2013-01-09,-0.0004984434063573884,-0.0010534940936426115,0.00038869329896907217,0.0010542763101374572,33.50811881550687,0.00614,0.012978,0.001772,0.004805,54.487602,-0.004552,-0.009621,8.9e-05,0.000242,10.916372,0.002368121670962199,0.005005215743127146,0.00038869329896907217,0.0010542763101374572,0.00614,0.012978,0.001772,0.004805,0.0,0.0,8.9e-05,0.000242,163.8,4.0
9,2013-01-10,-0.0007000755976739178,-0.0014796569028645273,0.00019929086797329312,0.0005405544906310574,24.247622901572257,0.004132,0.008733,0.0006,0.001628,33.901581,-0.005991,-0.012662,3.9e-05,0.000106,14.170091,0.00192086258884342,0.004059893387895757,0.00019929086797329312,0.0005405544906310574,0.005991,0.012662,0.0006,0.001628,0.0,0.0,3.9e-05,0.000106,168.2,3.0
10,2013-01-11,-0.001381038257274003,-0.0029189327605174307,0.0005250013087515649,0.0014240260043245705,35.367036355316564,0.008867,0.01874,0.002711,0.007354,61.210472,-0.015496,-0.032751,1.1e-05,3.1e-05,8.425405,0.0029934053905390544,0.006326797257311939,0.0005250013087515649,0.0014240260043245705,0.015496,0.032751,0.002711,0.007354,0.0,0.0,1.1e-05,3.1e-05,166.7,3.0
11,2013-01-12,-0.0013352899819922283,-0.0028222428205857265,0.00044975604208131927,0.001219927551890816,33.289001771699375,0.008734,0.01846,0.00236,0.006401,56.35548,-0.014947,-0.031591,5e-06,1.4e-05,6.021756,0.0028615646858117716,0.006048145009951664,0.00044975604208131927,0.001219927551890816,0.014947,0.031591,0.00236,0.006401,0.0,0.0,5e-06,1.4e-05,163.0,4.0
